Customer_ID,Age,Product_Category,Purchase_Amount
8686,37,Clothing,876
6475,58,Sports,770
5767,51,Beauty,402
8091,40,Electronics,732
6710,56,Electronics,300
6982,18,Books,283
5077,43,Home,976
6834,51,Beauty,133
7865,43,Beauty,539
8199,28,Electronics,800
7641,42,Sports,225
8525,57,Home,951
5418,30,Books,524
6481,36,Electronics,61
5826,32,Home,218
6759,42,Books,567
6183,48,Beauty,569
5070,18,Electronics,535
7438,27,Sports,656
5778,21,Home,758
5728,18,Electronics,848
6981,44,Sports,86
8386,36,Sports,440
8789,40,Sports,836
5238,31,Clothing,660
6646,49,Books,132
5965,24,Beauty,258
8317,32,Electronics,718
5960,27,Sports,709
7486,20,Sports,806
5184,32,Beauty,721
8105,38,Electronics,311
8810,52,Beauty,932
5690,38,Sports,795
6389,56,Beauty,161
8098,40,Electronics,823
6601,31,Books,531
7037,35,Home,508
5675,23,Home,759
5709,26,Beauty,142
8064,31,Sports,108
8233,35,Clothing,703
7279,46,Books,577
6582,24,Clothing,367
7261,33,Electronics,681
5914,27,Beauty,132
5640,58,Sports,786
6619,44,Clothing,115
5938,36,Electronics,288
6536,44,Beauty,945
7338,36,Sports,61
7325,56,Beauty,664
6649,35,Books,660
8583,51,Books,69
7537,51,Beauty,441
5081,52,Books,124
8165,49,Home,551
6943,22,Beauty,974
8900,52,Clothing,175
6133,50,Clothing,881
5918,19,Electronics,237
5222,56,Clothing,743
6983,52,Home,691
6744,45,Home,304
8955,45,Beauty,429
8304,21,Sports,735
6200,43,Books,371
5564,30,Sports,719
7837,26,Sports,330
6995,56,Electronics,354
5172,36,Sports,64
6948,36,Electronics,268
8994,39,Electronics,945
5109,38,Sports,234
7294,47,Electronics,982
6105,53,Beauty,726
7646,45,Electronics,840
8450,35,Home,634
7184,54,Sports,352
7775,34,Books,648
8436,59,Clothing,329
6258,28,Beauty,626
7259,35,Sports,210
7115,50,Books,657
5639,33,Electronics,320
7320,39,Sports,760
8632,56,Books,686
5305,28,Beauty,135
5605,30,Sports,977
5617,58,Books,101
8527,55,Sports,995
8885,41,Beauty,773
7524,18,Clothing,695
7640,36,Beauty,654
6648,45,Books,309
5439,19,Clothing,229
6750,24,Clothing,567
5255,28,Beauty,266
8441,21,Electronics,736
6422,29,Beauty,709
5781,36,Home,373
7966,57,Clothing,898
7382,29,Home,971
8492,40,Home,343
7834,49,Sports,282
7302,37,Books,75
5451,44,Electronics,364
8943,23,Home,647
6077,31,Books,316
8646,41,Beauty,824
5476,38,Beauty,986
7670,38,Books,84
6573,56,Books,849
7836,42,Books,837
7871,59,Clothing,354
6715,44,Beauty,969
8562,27,Clothing,758
6099,50,Sports,838
5792,40,Sports,599
7365,32,Electronics,53
8457,27,Sports,123
7049,58,Sports,839
7340,39,Books,212
5435,48,Beauty,249
6396,32,Beauty,791
7612,25,Beauty,864
5958,49,Beauty,213
5305,32,Electronics,280
5723,35,Beauty,656
5159,43,Electronics,433
8600,29,Home,908
6810,20,Electronics,991
5661,20,Beauty,108
5157,31,Beauty,51
7508,49,Sports,732
8705,35,Electronics,974
6994,27,Beauty,555
7002,24,Home,430
5453,28,Electronics,655
5048,34,Books,91
8878,50,Clothing,764
6452,40,Clothing,686
8021,46,Home,694
7936,38,Books,992
6471,30,Clothing,531
5684,37,Sports,195
6892,42,Books,821
8747,41,Electronics,532
5624,35,Home,168
8415,52,Beauty,506
5609,26,Electronics,662
7708,38,Beauty,760
5712,39,Home,451
7987,22,Sports,256
6917,24,Home,94
5859,55,Beauty,431
6970,34,Books,537
6024,36,Beauty,896
5984,42,Sports,618
5389,41,Clothing,864
8664,40,Clothing,529
6731,58,Electronics,407
7687,32,Sports,998
5659,47,Books,597
8204,57,Sports,558
7202,37,Electronics,486
6310,47,Beauty,446
8029,19,Clothing,793
5146,52,Home,583
7777,59,Sports,889
6917,21,Sports,745
5328,32,Electronics,681
7368,52,Sports,861
7125,29,Home,596
7028,56,Books,159
7866,24,Books,187
8425,22,Clothing,671
8575,36,Clothing,456
8115,29,Beauty,332
6298,50,Books,613
7379,37,Electronics,916
5934,55,Home,399
5450,20,Sports,513
6234,49,Electronics,847
8563,47,Electronics,347
7949,46,Electronics,497
5132,20,Sports,459
5745,58,Home,991
7109,56,Clothing,747
6884,30,Books,626
8539,23,Clothing,174
5032,54,Books,111
8962,56,Sports,910
6272,47,Home,580
7881,46,Sports,985
6844,37,Beauty,337
8396,21,Books,243
7848,52,Beauty,169
7747,30,Home,150
7199,30,Clothing,764
8695,23,Sports,236
5249,54,Home,640
7368,51,Clothing,321
7471,28,Home,84
5466,52,Beauty,239
8557,19,Electronics,754
7766,33,Beauty,892
5578,27,Beauty,478
8609,20,Beauty,105
8577,52,Home,814
6892,36,Books,56
6135,43,Books,730
8041,41,Sports,978
6333,26,Sports,789
7401,58,Electronics,757
8043,36,Home,653
8479,27,Home,873
5984,52,Sports,534
7976,58,Home,329
5272,31,Electronics,776
7433,23,Books,132
5142,21,Books,510
7051,24,Clothing,249
6799,58,Sports,142
6349,48,Electronics,286
5248,29,Sports,741
5342,43,Clothing,394
7305,47,Beauty,944
5492,51,Clothing,834
7868,43,Clothing,630
8244,34,Books,473
8962,56,Sports,230
8357,24,Sports,936
5920,56,Clothing,143
6200,32,Home,53
7442,48,Home,56
5310,36,Sports,817
7105,39,Sports,975
5389,47,Sports,942
8601,27,Sports,409
8272,46,Books,436
8659,39,Home,708
7315,25,Home,681
7828,44,Home,93
8673,19,Home,881
5797,20,Electronics,177
7058,57,Sports,826
6908,22,Home,539
8313,35,Home,399
8059,22,Electronics,450
6425,18,Electronics,371
6855,59,Beauty,709
6002,49,Sports,110
5134,39,Clothing,423
6966,21,Electronics,285
5084,36,Electronics,662
7492,39,Home,469
8850,49,Beauty,756
5241,40,Sports,574
6177,40,Beauty,238
7098,26,Clothing,996
5481,58,Sports,434
8338,39,Home,413
7496,20,Sports,50
6881,48,Books,887
6140,54,Sports,789
5785,48,Electronics,582
8913,39,Electronics,663
7151,26,Home,414
5461,31,Electronics,763
8766,51,Home,292
6546,38,Books,447
6453,55,Electronics,724
8085,52,Home,774
5844,34,Books,974
7603,36,Beauty,909
7409,41,Electronics,298
6950,37,Sports,499
5757,51,Books,847
7311,40,Electronics,650
8090,46,Beauty,315
8800,52,Electronics,214
7298,29,Home,990
6722,48,Beauty,151
8372,34,Home,888
5981,56,Books,240
5414,30,Clothing,897
6243,49,Sports,248
6884,44,Books,973
8830,51,Clothing,409
5154,34,Sports,450
6599,32,Clothing,522
7809,38,Clothing,370
7432,21,Clothing,891
6980,36,Sports,741
6685,27,Electronics,361
5819,32,Beauty,128
7567,20,Books,868
7843,50,Beauty,318
8102,48,Sports,879
6718,30,Electronics,920
7081,24,Electronics,552
7957,44,Electronics,153
7377,49,Home,137
8659,47,Home,327
5621,44,Beauty,713
6704,24,Beauty,835
6194,24,Electronics,328
8741,44,Sports,934
7177,29,Sports,142
8250,49,Sports,201
7838,32,Clothing,309
5053,50,Beauty,967
7454,56,Electronics,324
5785,21,Books,836
